node_id,lat,lon,degree_centrality,betweenness_centrality,closeness_centrality,street_count
418784973,3.8811072,11.5131889,0.000229,0.010838,4.4e-05,4
419587940,3.8728764,11.4614812,0.000114,0.036495,3.8e-05,3
419587950,3.8729781,11.461719,0.000114,0.048155,3.8e-05,3
419587972,3.8708854,11.5149808,0.000114,0.000487,4.6e-05,3
419587976,3.8700998,11.515405,0.000229,0.000497,4.6e-05,3
419587978,3.8705535,11.5164053,0.000305,0.000251,4.5e-05,4
419587984,3.8665493,11.5158827,0.000153,0.005068,4.6e-05,3
419587998,3.8652948,11.5192929,0.000305,0.002301,4.6e-05,4
419588000,3.8666207,11.5181045,0.000191,0.000528,4.5e-05,3
419588004,3.8735895,11.5149073,0.000229,0.211379,4.6e-05,3
419588006,3.8713487,11.5160664,0.000229,7.2e-05,4.5e-05,3
419588009,3.8721217,11.5157323,0.000229,8.3e-05,4.5e-05,3
419588017,3.8671235,11.5168471,0.000114,0.00193,4.6e-05,3
419588019,3.8670544,11.5167784,0.000114,0.00303,4.6e-05,3
419588021,3.8671464,11.5166524,0.000114,0.002421,4.6e-05,3
419588023,3.8672164,11.5166783,0.000114,0.002459,4.6e-05,3
419588027,3.8671686,11.5168488,0.000114,0.001892,4.6e-05,3
419588054,3.8757315,11.5109904,0.000229,0.00181,4.5e-05,3
419588064,3.8578751,11.5177201,0.000305,0.000715,4.5e-05,4
419588092,3.8901135,11.5145389,0.000229,0.032699,4.2e-05,3
419588095,3.8925105,11.5179302,0.000229,0.014056,4.2e-05,3
419588099,3.8928718,11.522699,0.000229,0.102124,4.3e-05,4
419588102,3.8840739,11.5195748,0.000114,0.116369,4.4e-05,3
419588118,3.8978632,11.5237436,0.000153,0.089947,4.2e-05,3
419588130,3.9017832,11.5249713,0.000153,0.093248,4e-05,4
419588146,3.9068866,11.5252605,0.000229,0.001148,3.1e-05,3
419588158,3.8891131,11.5225172,0.000153,0.110727,4.4e-05,4
419588164,3.9154744,11.5202915,0.000153,0.08238,2.8e-05,4
419588172,3.8999779,11.5245335,0.000153,0.092248,3.7e-05,3
419588173,3.8980445,11.5236697,0.000153,0.092341,4.2e-05,3
419588175,3.900772,11.5247816,0.000153,0.092324,3.8e-05,3
419588177,3.9017434,11.5248352,0.000114,0.093207,4e-05,3
419588179,3.8891616,11.5223688,0.000114,0.12639,4.4e-05,3
419588186,3.8987601,11.5239453,0.000229,0.093134,4.2e-05,4
419588201,3.8849928,11.518828,0.000153,0.023289,4.4e-05,3
419588206,3.8838162,11.519374,0.000114,0.115822,4.4e-05,3
419588208,3.8837677,11.5190855,0.000114,0.11586,4.5e-05,3
419588228,3.8845134,11.5194365,0.000114,0.111449,4.4e-05,3
419588254,3.884369,11.5136874,0.000229,0.000455,4.3e-05,3
419601292,3.8729214,11.5312455,0.000229,0.001169,4.3e-05,3
419620497,3.8915993,11.5195403,0.000229,3.8e-05,4.1e-05,3
420419239,3.8922255,11.5132508,0.000153,0.00276,4.2e-05,3
420419242,3.8939174,11.5132957,0.000229,0.002968,4.1e-05,3
420603717,3.8832948,11.5210427,0.000153,0.007226,4.4e-05,3
420603718,3.8809967,11.5237893,0.000229,0.00774,4.3e-05,3
420603719,3.879205,11.5243105,0.000229,0.00644,4.3e-05,3
420603723,3.8745593,11.5243101,0.000229,0.006822,4.4e-05,3
420603728,3.8722716,11.5175349,0.000114,0.00065,4.5e-05,3
420603734,3.870311,11.5192093,0.000229,0.000107,4.4e-05,3
420603742,3.8664572,11.5205923,0.000153,0.003615,4.5e-05,3
420603746,3.8665942,11.5205802,0.000153,0.003291,4.5e-05,3
420603750,3.8900512,11.517401,0.000229,0.002757,4.2e-05,3
420603752,3.889129,11.5175116,0.000229,0.014655,4.3e-05,3
420603755,3.8892229,11.5184406,0.000229,0.014779,4.3e-05,3
420603763,3.8880269,11.5189326,0.000229,0.016896,4.3e-05,3
420603767,3.8913946,11.5167602,0.000229,0.011613,4.2e-05,3
420603808,3.8674729,11.5266723,0.000305,0.004194,4.4e-05,4
420603811,3.8750803,11.530212,0.000305,0.013501,4.3e-05,4
420603829,3.8648023,11.5182925,0.000229,0.002283,4.6e-05,3
420603834,3.8652083,11.5220457,0.000305,0.019245,4.5e-05,4
420603849,3.8649582,11.522846,0.000229,3.3e-05,4.5e-05,3
420603858,3.8723257,11.5177079,0.000114,0.001259,4.5e-05,3
420603874,3.8715273,11.5191665,0.000305,0.000177,4.4e-05,4
420603876,3.8753269,11.5151183,0.000191,0.211318,4.5e-05,3
420603878,3.8709589,11.5172788,0.000381,0.00206,4.5e-05,5
420603880,3.8733965,11.5162385,0.000229,1.2e-05,4.4e-05,3
420603882,3.8845299,11.5120063,0.000305,0.000727,4.3e-05,4
420603885,3.8838186,11.5128925,0.000305,0.000426,4.3e-05,4
420603890,3.8885667,11.5221159,0.000229,0.113973,4.4e-05,4
426909046,3.8945804,11.513236,0.000229,0.000601,4.1e-05,3
426909048,3.8951845,11.5131814,0.000229,0.000546,4.1e-05,3
426913406,3.895477,11.5230029,0.000153,0.095731,4.3e-05,4
426913411,3.8970537,11.5216085,0.000229,0.006838,4.2e-05,3
426913417,3.9019762,11.5117869,0.000229,5.3e-05,3.5e-05,3
426913419,3.9021863,11.5123583,0.000229,0.000471,3.6e-05,3
426913420,3.9008276,11.5123506,0.000305,0.0,3.5e-05,4
426913422,3.8999758,11.5127805,0.000229,3.4e-05,3.8e-05,3
426913424,3.8984252,11.5136237,0.000305,0.000247,3.8e-05,4
426913442,3.8966222,11.5077096,0.000229,0.000393,4e-05,3
426913444,3.8949571,11.5073714,0.000229,0.029969,4e-05,3
426913445,3.8980169,11.5090172,0.000229,0.000253,3.9e-05,3
426913464,3.9055381,11.5132866,0.000229,0.000175,2.9e-05,3
427158961,3.883716,11.5138879,0.000229,1.7e-05,4.3e-05,3
427158962,3.8853196,11.5161811,0.000229,0.000425,4.3e-05,3
427158991,3.9128825,11.4920637,0.000229,5.8e-05,1.7e-05,3
427159044,3.9147291,11.5006803,0.000229,0.015496,2e-05,3
427159073,3.8505916,11.5156788,0.000153,0.05005,4.4e-05,3
427159078,3.8412856,11.5123992,0.000229,0.035066,4.4e-05,3
427159093,3.8130857,11.5116538,0.000191,0.075655,4e-05,3
427159098,3.8127968,11.5106678,0.000191,0.014265,4e-05,3
427159101,3.8021652,11.5082632,0.000153,0.045382,3.9e-05,3
427159107,3.8029147,11.5222541,0.000229,0.008894,3.7e-05,3
427159108,3.8015417,11.5221369,0.000229,0.006161,3.7e-05,3
427159113,3.7796328,11.5268818,0.000229,0.028389,3.3e-05,3
427159143,3.8097325,11.5105578,0.000191,0.081264,4e-05,3
427171785,3.7912847,11.5228121,0.000305,0.050726,3.5e-05,4
427929388,3.8881899,11.5253819,0.000153,0.050432,4.3e-05,3
427929396,3.9066603,11.5126797,7.6e-05,0.0,2.7e-05,1
427929400,3.8953438,11.5186082,0.000229,0.0,4e-05,3
427929401,3.8944405,11.5187245,0.000229,7.1e-05,4.1e-05,3
427929402,3.8935662,11.517724,0.000229,0.003446,4.1e-05,3
428261197,3.895986,11.5070361,0.000229,0.0297,4e-05,3
429690836,3.8656723,11.5118975,0.000229,0.004787,4.6e-05,3
429690849,3.8610304,11.5046737,0.000153,0.005622,4.4e-05,3
429690859,3.862146,11.5099136,0.000153,0.003929,4.4e-05,3
429690862,3.8611768,11.5100192,0.000229,0.003861,4.4e-05,3
429690868,3.8648754,11.5118782,0.000153,0.00476,4.5e-05,3
429690871,3.8663629,11.5127029,0.000153,0.004477,4.6e-05,3
429690884,3.8620375,11.5041849,0.000153,0.004443,4.4e-05,3
429690895,3.8496158,11.4863717,0.000229,0.046071,4.1e-05,3
429690908,3.8528982,11.5129964,0.000191,0.008289,4.4e-05,3
429690909,3.8528566,11.5131765,0.000191,0.005414,4.4e-05,3
429690914,3.8528674,11.5135309,0.000229,0.005466,4.4e-05,3
429690916,3.8613022,11.5053208,0.000381,0.003821,4.4e-05,5
429690919,3.8673882,11.5115092,0.000229,0.000342,4.6e-05,3
429999425,3.8963586,11.5495896,0.000229,0.054726,3.8e-05,3
429999430,3.8926702,11.550453,0.000229,0.026897,3.8e-05,3
442117456,3.8967158,11.4911971,0.000229,0.030816,3.9e-05,3
442117466,3.910043,11.4859739,0.000229,0.009868,2.1e-05,3
442117483,3.9104733,11.4887368,0.000229,0.000132,1.9e-05,3
442117500,3.9104073,11.4857941,0.000229,0.009683,2.1e-05,3
442117520,3.9051139,11.4902629,0.000229,0.010074,2.7e-05,3
442117529,3.8989156,11.4912946,0.000305,0.01207,3.8e-05,4
442117531,3.8971604,11.4910625,0.000229,0.030789,3.8e-05,3
442117532,3.8964047,11.4913634,0.000305,0.036684,3.9e-05,4
442117535,3.8961255,11.4928355,0.000229,0.018477,3.9e-05,3
442117544,3.8962728,11.5024857,0.000229,0.007385,4e-05,3
442530271,3.8632258,11.5135968,0.000305,0.000448,4.5e-05,4
442530273,3.8630072,11.5131789,0.000229,0.000514,4.5e-05,3
442530277,3.8641641,11.5120429,0.000153,0.000349,4.5e-05,3
442530282,3.8578925,11.5175645,0.000229,0.000524,4.5e-05,3
442530284,3.8598428,11.5148141,0.000229,0.000147,4.4e-05,3
442530301,3.8574955,11.5117089,0.000229,0.000663,4.3e-05,3
442530309,3.8540073,11.511735,0.000229,0.007856,4.4e-05,3
442530312,3.8528756,11.5138625,0.000191,0.00548,4.4e-05,3
442530315,3.8526698,11.5130673,0.000153,0.003571,4.4e-05,3
442530318,3.85178,11.5129836,0.000191,7.6e-05,4.3e-05,3
442530323,3.8521581,11.513804,0.000114,0.003342,4.3e-05,3
442530331,3.8520662,11.5130884,0.000153,0.003533,4.4e-05,3
442530333,3.8519038,11.5132786,0.000153,0.003381,4.3e-05,3
442530365,3.8599287,11.505237,0.000153,0.005193,4.3e-05,4
442530373,3.8524169,11.4986986,0.000191,0.004498,4.2e-05,3
442530384,3.8465611,11.5033563,0.000229,0.002949,4.2e-05,3
442530397,3.8440512,11.5012325,0.000114,0.054261,4.3e-05,3
442530398,3.8443285,11.5011183,0.000114,0.049249,4.3e-05,3
442530410,3.8441526,11.5027818,0.000229,0.096065,4.3e-05,3
442530430,3.8520306,11.4987928,0.000191,0.002979,4.2e-05,3
442530444,3.8596825,11.5049218,0.000153,0.004466,4.3e-05,3
442530461,3.8566954,11.5179804,0.000229,7.3e-05,4.4e-05,3
442530474,3.8677681,11.5123567,0.000114,0.116546,4.6e-05,3
442530480,3.8677578,11.5124094,0.000114,0.116351,4.6e-05,3
442530485,3.8677453,11.5122772,0.000114,0.120925,4.6e-05,3
442530496,3.867602,11.5122116,0.000114,0.113116,4.6e-05,3
442530498,3.8676849,11.5122239,0.000114,0.120887,4.6e-05,3
442530510,3.8675258,11.5124701,0.000114,0.116508,4.6e-05,3
442530512,3.8676725,11.5124922,0.000114,0.11647,4.6e-05,3
442530524,3.8727721,11.505435,0.000229,6.9e-05,4.5e-05,3
442530528,3.8799632,11.513696,0.000229,0.014677,4.5e-05,4
442890915,3.8953513,11.5015411,0.000229,0.007741,4e-05,3
442890925,3.8876735,11.4921935,0.000153,0.019886,4e-05,3
442890926,3.8850328,11.4920753,0.000229,0.012282,4.1e-05,4
442890928,3.8864,11.4920033,0.000229,0.008794,4e-05,4
442890935,3.8857305,11.4920719,0.000153,0.009933,4.1e-05,3
