node_id,degree_centrality,betweenness_centrality,closeness_centrality,street_count
442117500,0.4547619047619047,0.04223810022333892,0.4468085106382979,0.4000000000000001
442117520,0.4547619047619047,0.043943676716917915,0.574468085106383,0.4000000000000001
442117529,0.6357142857142856,0.05265040480178671,0.8085106382978725,0.6000000000000001
442117531,0.4547619047619047,0.13430433417085427,0.8085106382978725,0.4000000000000001
442117532,0.6357142857142856,0.16001884422110552,0.8297872340425533,0.6000000000000001
442117535,0.4547619047619047,0.0805983040201005,0.8297872340425533,0.4000000000000001
442117544,0.4547619047619047,0.03221402149637074,0.8510638297872342,0.4000000000000001
442530271,0.6357142857142856,0.001954215522054718,0.9574468085106385,0.6000000000000001
442530273,0.4547619047619047,0.002242113344500279,0.9574468085106385,0.4000000000000001
442530277,0.2738095238095238,0.0015223687883863764,0.9574468085106385,0.4000000000000001
442530282,0.4547619047619047,0.0022857342266890007,0.9574468085106385,0.4000000000000001
442530284,0.4547619047619047,0.0006412269681742043,0.9361702127659576,0.4000000000000001
442530301,0.4547619047619047,0.0028920644891122275,0.9148936170212767,0.4000000000000001
442530309,0.4547619047619047,0.034268565047459516,0.9361702127659576,0.4000000000000001
442530312,0.36428571428571427,0.023904243439419316,0.9361702127659576,0.4000000000000001
442530315,0.2738095238095238,0.015577017029592405,0.9361702127659576,0.4000000000000001
442530318,0.36428571428571427,0.0003315187046342825,0.9148936170212767,0.4000000000000001
442530323,0.18095238095238092,0.014578098827470685,0.9148936170212767,0.4000000000000001
442530331,0.2738095238095238,0.015411257677275265,0.9361702127659576,0.4000000000000001
442530333,0.2738095238095238,0.014748220268006698,0.9148936170212767,0.4000000000000001
442530365,0.2738095238095238,0.02265232412060301,0.9148936170212767,0.6000000000000001
442530373,0.36428571428571427,0.019620672808486877,0.8936170212765958,0.4000000000000001
442530384,0.4547619047619047,0.012863798157453935,0.8936170212765958,0.4000000000000001
442530397,0.18095238095238092,0.23669126884422106,0.9148936170212767,0.4000000000000001
442530398,0.18095238095238092,0.21482848269123395,0.9148936170212767,0.4000000000000001
442530410,0.4547619047619047,0.41904400474595194,0.9148936170212767,0.4000000000000001
442530430,0.36428571428571427,0.012994660804020099,0.8936170212765958,0.4000000000000001
442530444,0.2738095238095238,0.01948108598548297,0.9148936170212767,0.4000000000000001
442530461,0.4547619047619047,0.00031843243997766607,0.9361702127659576,0.4000000000000001
442530474,0.18095238095238092,0.5083839335566722,0.9787234042553192,0.4000000000000001
442530480,0.18095238095238092,0.5075333263539922,0.9787234042553192,0.4000000000000001
442530485,0.18095238095238092,0.5274855178671133,0.9787234042553192,0.4000000000000001
442530496,0.18095238095238092,0.49342197096594076,0.9787234042553192,0.4000000000000001
442530498,0.18095238095238092,0.5273197585147962,0.9787234042553192,0.4000000000000001
442530510,0.18095238095238092,0.5082181742043551,0.9787234042553192,0.4000000000000001
442530512,0.18095238095238092,0.508052414852038,0.9787234042553192,0.4000000000000001
442530524,0.4547619047619047,0.00030098408710217754,0.9574468085106385,0.4000000000000001
442530528,0.4547619047619047,0.06402236878838638,0.9574468085106385,0.6000000000000001
442890915,0.4547619047619047,0.03376692490228922,0.8510638297872342,0.4000000000000001
442890925,0.2738095238095238,0.08674448632049134,0.8510638297872342,0.4000000000000001
442890926,0.4547619047619047,0.0535751675041876,0.872340425531915,0.6000000000000001
442890928,0.4547619047619047,0.03836020379676158,0.8510638297872342,0.6000000000000001
442890935,0.2738095238095238,0.04332862227805695,0.872340425531915,0.4000000000000001
442890936,0.2738095238095238,0.0379501675041876,0.8510638297872342,0.4000000000000001
442890938,0.5452380952380951,0.03675931742043551,0.8936170212765958,0.6000000000000001
442890939,0.09047619047619047,0.0,0.872340425531915,0.0
442890940,0.2738095238095238,0.0006761236739251814,0.872340425531915,0.4000000000000001
442890941,0.4547619047619047,0.001483109994416527,0.872340425531915,0.4000000000000001
442890947,0.4547619047619047,0.00021374232272473477,0.872340425531915,0.4000000000000001
442890948,0.4547619047619047,0.00830541596873255,0.872340425531915,0.4000000000000001
442890953,0.4547619047619047,0.005819025683975432,0.872340425531915,0.4000000000000001
442890956,0.4547619047619047,0.00046238135120044664,0.8936170212765958,0.4000000000000001
442890958,0.4547619047619047,0.0004231225572305974,0.8936170212765958,0.4000000000000001
442890959,0.4547619047619047,0.008636934673366833,0.872340425531915,0.4000000000000001
442890969,0.4547619047619047,0.0059716987716359575,0.8936170212765958,0.4000000000000001
442890970,0.4547619047619047,0.005871370742601898,0.8936170212765958,0.4000000000000001
